DDI-DrugBank.d599.s4|DDI-DrugBank.d599.s4.e0|DDI-DrugBank.d599.s4.e1|1|advise
DDI-DrugBank.d599.s6|DDI-DrugBank.d599.s6.e0|DDI-DrugBank.d599.s6.e1|0|null
DDI-DrugBank.d599.s7|DDI-DrugBank.d599.s7.e0|DDI-DrugBank.d599.s7.e1|0|null
DDI-DrugBank.d599.s7|DDI-DrugBank.d599.s7.e0|DDI-DrugBank.d599.s7.e2|0|null
DDI-DrugBank.d599.s7|DDI-DrugBank.d599.s7.e0|DDI-DrugBank.d599.s7.e3|0|null
DDI-DrugBank.d599.s7|DDI-DrugBank.d599.s7.e0|DDI-DrugBank.d599.s7.e4|0|null
DDI-DrugBank.d599.s7|DDI-DrugBank.d599.s7.e1|DDI-DrugBank.d599.s7.e2|0|null
DDI-DrugBank.d599.s7|DDI-DrugBank.d599.s7.e1|DDI-DrugBank.d599.s7.e3|0|null
DDI-DrugBank.d599.s7|DDI-DrugBank.d599.s7.e1|DDI-DrugBank.d599.s7.e4|0|null
DDI-DrugBank.d599.s7|DDI-DrugBank.d599.s7.e2|DDI-DrugBank.d599.s7.e3|0|null
DDI-DrugBank.d599.s7|DDI-DrugBank.d599.s7.e2|DDI-DrugBank.d599.s7.e4|0|null
DDI-DrugBank.d599.s7|DDI-DrugBank.d599.s7.e3|DDI-DrugBank.d599.s7.e4|0|null
DDI-DrugBank.d763.s1|DDI-DrugBank.d763.s1.e0|DDI-DrugBank.d763.s1.e1|0|null
DDI-DrugBank.d763.s3|DDI-DrugBank.d763.s3.e0|DDI-DrugBank.d763.s3.e1|0|null
DDI-DrugBank.d763.s3|DDI-DrugBank.d763.s3.e0|DDI-DrugBank.d763.s3.e2|0|null
DDI-DrugBank.d763.s3|DDI-DrugBank.d763.s3.e0|DDI-DrugBank.d763.s3.e3|0|null
DDI-DrugBank.d763.s3|DDI-DrugBank.d763.s3.e0|DDI-DrugBank.d763.s3.e4|0|null
DDI-DrugBank.d763.s3|DDI-DrugBank.d763.s3.e0|DDI-DrugBank.d763.s3.e5|0|null
DDI-DrugBank.d763.s3|DDI-DrugBank.d763.s3.e0|DDI-DrugBank.d763.s3.e6|0|null
DDI-DrugBank.d763.s3|DDI-DrugBank.d763.s3.e0|DDI-DrugBank.d763.s3.e7|0|null
DDI-DrugBank.d763.s3|DDI-DrugBank.d763.s3.e1|DDI-DrugBank.d763.s3.e2|0|null
DDI-DrugBank.d763.s3|DDI-DrugBank.d763.s3.e1|DDI-DrugBank.d763.s3.e3|0|null
DDI-DrugBank.d763.s3|DDI-DrugBank.d763.s3.e1|DDI-DrugBank.d763.s3.e4|0|null
DDI-DrugBank.d763.s3|DDI-DrugBank.d763.s3.e1|DDI-DrugBank.d763.s3.e5|0|null
DDI-DrugBank.d763.s3|DDI-DrugBank.d763.s3.e1|DDI-DrugBank.d763.s3.e6|0|null
DDI-DrugBank.d763.s3|DDI-DrugBank.d763.s3.e1|DDI-DrugBank.d763.s3.e7|0|null
DDI-DrugBank.d763.s3|DDI-DrugBank.d763.s3.e2|DDI-DrugBank.d763.s3.e3|0|null
DDI-DrugBank.d763.s3|DDI-DrugBank.d763.s3.e2|DDI-DrugBank.d763.s3.e4|0|null
DDI-DrugBank.d763.s3|DDI-DrugBank.d763.s3.e2|DDI-DrugBank.d763.s3.e5|0|null
